time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
18093876022233,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093876251011,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093876469344,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093876687104,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093876905974,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093877124215,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093877341937,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093877560548,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093877778030,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093877996122,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093878214548,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093878432881,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093878658604,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093878877215,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093879095252,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093879313918,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093879532159,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093879750085,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093879968363,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093880215881,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093880434641,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093880652993,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093880871104,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093881089807,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093881307900,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093881525826,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093881744863,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093881963326,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093882212530,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093882432085,874.334,-338.132,1224.46,318.766,-11.9327,44.6181
18093882650770,874.334,-338.132,1224.46,318.766,-11.9327,44.6181
18093882869011,874.334,-338.132,1224.46,318.766,-11.9327,44.6181
18093883087918,874.334,-338.132,1224.46,318.766,-11.9327,44.6181
18093883305493,874.334,-338.132,1224.46,318.766,-11.9327,44.6181
18093883523715,874.334,-338.132,1224.46,318.766,-11.9327,44.6181
18093883741715,874.334,-338.132,1224.46,0,0,0
18093883957141,874.334,-338.132,1224.46,0,0,0
18093884206918,874.334,-338.132,1224.46,0,0,0
18093884422881,874.334,-338.132,1224.46,0,0,0
18093884638233,874.334,-338.132,1224.46,0,0,0
18093884853696,874.334,-338.132,1224.46,0,0,0
18093885069011,874.334,-338.132,1224.46,0,0,0
18093885284530,874.334,-338.132,1224.46,0,0,0
18093885499844,874.334,-338.132,1224.46,0,0,0
18093885715011,874.334,-338.132,1224.46,0,0,0
18093885929900,874.334,-338.132,1224.46,0,0,0
18093886145141,874.334,-338.132,1224.46,0,0,0
18093886365696,874.334,-338.132,1224.46,0,0,0
18093886581326,874.334,-338.132,1224.46,0,0,0
18093886796567,874.334,-338.132,1224.46,0,0,0
18093887012696,874.334,-338.132,1224.46,0,0,0
18093887227770,874.334,-338.132,1224.46,0,0,0
18093887442233,874.334,-338.132,1224.46,0,0,0
18093887657493,874.334,-338.132,1224.46,0,0,0
18093887872067,874.334,-338.132,1224.46,0,0,0
18093888090178,874.334,-338.132,1224.46,0,0,0
18093888314770,874.334,-338.132,1224.46,0,0,0
18093888529918,874.334,-338.132,1224.46,0,0,0
18093888744863,874.334,-338.132,1224.46,0,0,0
18093888960159,874.334,-338.132,1224.46,0,0,0
18093889175400,874.334,-338.132,1224.46,0,0,0
18093889390474,874.334,-338.132,1224.46,0,0,0
18093889605159,874.334,-338.132,1224.46,0,0,0
18093889820418,874.334,-338.132,1224.46,0,0,0
18093890035585,874.334,-338.132,1224.46,0,0,0
18093890250530,874.334,-338.132,1224.46,0,0,0
18093890465585,874.334,-338.132,1224.46,0,0,0
18093890681067,874.334,-338.132,1224.46,286.66,-11.6886,44.4655
18093890899622,874.334,-338.132,1224.46,286.66,-11.6886,44.4655
18093891124011,874.334,-338.132,1224.46,286.66,-11.6886,44.4655
18093891342770,874.334,-338.132,1224.46,286.66,-11.6886,44.4655
18093891560918,874.334,-338.132,1224.46,286.66,-11.6886,44.4655
18093891779270,874.334,-338.132,1224.46,286.66,-11.6886,44.4655
18093891996826,874.334,-338.132,1224.46,286.66,-11.6886,44.4655
18093892242011,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093892461159,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093892679622,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093892897141,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093893115326,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093893333918,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093893552937,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093893771104,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093893989344,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093894207696,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
