Dictionary,Rotation Vector,Translation Vector
0,[[[-0.6046436  -3.14264648  0.90999834]]],[[[-0.61870651 -0.23089645  1.33849917]]]
0,[[[-0.59347585 -3.17448501  0.91695053]]],[[[-0.62328185 -0.23327614  1.34947241]]]
0,[[[ 0.48483002  2.76737464 -0.84267299]]],[[[-0.63241211 -0.23665857  1.37193008]]]
0,[[[-0.58141073 -3.13786506  0.97067128]]],[[[-0.62173034 -0.23257414  1.34822259]]]
0,[[[-0.60470279 -3.11964975  0.94576077]]],[[[-0.62351054 -0.23363485  1.35153556]]]
0,[[[-0.61660661 -3.13414849  0.92522467]]],[[[-0.63083503 -0.23646835  1.36794933]]]
0,[[[ 0.52870512  2.79007254 -0.85692733]]],[[[-0.63190739 -0.23680869  1.37135237]]]
0,[[[ 0.544468    2.76376614 -0.84033102]]],[[[-0.63293999 -0.23638613  1.37468585]]]
0,[[[ 0.5444771   2.76325271 -0.84086421]]],[[[-0.63299571 -0.23540985  1.37480707]]]
0,[[[ 0.51221393  2.78647808 -0.83139017]]],[[[-0.63455893 -0.23505446  1.37711258]]]
0,[[[ 0.51940383  2.78089138 -0.80831761]]],[[[-0.64240068 -0.23786179  1.39358257]]]
0,[[[-0.57287501 -3.14779029  0.89897814]]],[[[-0.64905363 -0.24073627  1.40744932]]]
0,[[[-0.58156757 -3.16173032  0.99653498]]],[[[-0.64070561 -0.23783785  1.39047281]]]
0,[[[ 0.50614088  2.77905284 -0.81799627]]],[[[-0.65134172 -0.24171041  1.41464599]]]
0,[[[-0.56465236 -3.15203624  0.98062715]]],[[[-0.64550974 -0.24008912  1.40364778]]]
0,[[[-0.58897484 -3.13418253  0.95294918]]],[[[-0.64756271 -0.24145461  1.40865044]]]
0,[[[-0.56007058 -3.15815379  0.94154502]]],[[[-0.66056756 -0.24756962  1.43524706]]]
0,[[[-0.55993737 -3.1580709   0.9407366 ]]],[[[-0.66051028 -0.248589    1.4351224 ]]]
0,[[[ 0.51487837  2.73625663 -0.87833843]]],[[[-0.65359733 -0.24628487  1.42179802]]]
0,[[[ 0.51863094  2.76028638 -0.86164916]]],[[[-0.64946161 -0.24536863  1.41502258]]]
0,[[[ 0.51840388  2.76054811 -0.86213232]]],[[[-0.64829542 -0.24531556  1.41471615]]]
0,[[[-0.57474312 -3.14190384  0.9949645 ]]],[[[-0.6563669 -0.2501598  1.4351665]]]
0,[[[-0.58753976 -3.15792701  0.97410586]]],[[[-0.66447617 -0.25440122  1.45347303]]]
0,[[[ 0.52934236  2.75701252 -0.87685231]]],[[[-0.66050332 -0.25459482  1.44707159]]]
0,[[[-0.58676318 -3.15731613  0.97195814]]],[[[-0.66311371 -0.25744388  1.45279589]]]
0,[[[ 0.49838892  2.75249266 -0.8581685 ]]],[[[-0.67374056 -0.26226491  1.47549082]]]
0,[[[ 0.50829586  2.73152153 -0.86461213]]],[[[-0.66716186 -0.2604581   1.45935708]]]
0,[[[-0.56994803 -3.14792157  0.95274634]]],[[[-0.67182679 -0.2622282   1.46779366]]]
0,[[[-0.55264821 -3.13813464  0.93447448]]],[[[-0.67910048 -0.26495768  1.48308616]]]
0,[[[-0.56031405 -3.15083495  1.03359442]]],[[[-0.66948352 -0.26248406  1.46327414]]]
0,[[[ 0.48861984  2.77622527 -0.85004524]]],[[[-0.68135436 -0.26923257  1.49037826]]]
0,[[[ 0.4985666   2.75549275 -0.85614578]]],[[[-0.67363217 -0.26842957  1.47408235]]]
0,[[[ 0.48419013  2.75343253 -0.86622819]]],[[[-0.68322823 -0.27447416  1.49686046]]]
0,[[[ 0.45592506  2.77325212 -0.83017698]]],[[[-0.6927067  -0.28031395  1.51822323]]]
0,[[[-0.57196751 -3.16610415  1.00851222]]],[[[-0.67505867 -0.27420482  1.48073633]]]
0,[[[ 0.47936159  2.73128043 -0.88335445]]],[[[-0.68368581 -0.27907625  1.50264535]]]
