Dictionary,Rotation Vector,Translation Vector
0,[[[ 0.0808722  -3.24040416  0.33968819]]],[[[-0.46390694 -0.27702129  1.33768118]]]
0,[[[-0.08123483  2.97886818 -0.42894695]]],[[[-0.46710523 -0.27968914  1.33992226]]]
0,[[[ 0.06885826 -3.23655355  0.46906407]]],[[[-0.47830397 -0.28699074  1.35722259]]]
0,[[[ 0.08272339 -3.22600451  0.39010148]]],[[[-0.48208723 -0.29013065  1.35125769]]]
0,[[[ 0.04481136 -3.209602    0.42971785]]],[[[-0.47926482 -0.28896641  1.33452679]]]
0,[[[ 0.08252489 -3.22637435  0.38715438]]],[[[-0.48616339 -0.2931655   1.35169566]]]
0,[[[-0.06090151  3.01381857 -0.40912384]]],[[[-0.4853085  -0.29388005  1.34931432]]]
0,[[[-0.07900199  3.04504975 -0.39896307]]],[[[-0.48723621 -0.29685547  1.35396612]]]
0,[[[ 0.10012206 -3.20697736  0.3194053 ]]],[[[-0.49496255 -0.3041366   1.37474546]]]
0,[[[ 0.07886095 -3.1523252   0.39678197]]],[[[-0.48267394 -0.30014992  1.34126104]]]
0,[[[ 0.09551389 -3.12294471  0.38462277]]],[[[-0.48063979 -0.30346596  1.34302471]]]
0,[[[ 0.05107644 -3.18836548  0.47230802]]],[[[-0.47526048 -0.30817444  1.34440023]]]
0,[[[-0.09964215  3.08205793 -0.39394348]]],[[[-0.47191498 -0.3142907   1.35292702]]]
0,[[[ 0.08223007 -3.14490824  0.39543015]]],[[[-0.46284808 -0.31382614  1.33735291]]]
0,[[[-0.10083234  3.08450542 -0.39319904]]],[[[-0.46659623 -0.31989397  1.35172419]]]
0,[[[ 0.08283077 -3.1436647   0.3948943 ]]],[[[-0.45971692 -0.31658276  1.33670489]]]
0,[[[ 0.11633496 -3.12366547  0.33889761]]],[[[-0.45626829 -0.31421294  1.34007081]]]
0,[[[ 0.1043842  -3.14009326  0.40612806]]],[[[-0.45324612 -0.31505807  1.34990334]]]
0,[[[-0.10552176  3.08806916 -0.44002514]]],[[[-0.44171722 -0.31105519  1.33065167]]]
0,[[[ 0.11621114 -3.08348073  0.38082943]]],[[[-0.44305802 -0.31421792  1.33902536]]]
0,[[[ 0.11641659 -3.08331255  0.37994953]]],[[[-0.4430103  -0.31612616  1.33888083]]]
0,[[[ 0.09691588 -3.08259616  0.37380326]]],[[[-0.4364453  -0.31384041  1.32411311]]]
0,[[[ 0.11757354 -3.08118051  0.3802976 ]]],[[[-0.43594542 -0.31787116  1.33804972]]]
0,[[[ 0.11276063 -3.05247107  0.37027902]]],[[[-0.42655177 -0.31379483  1.32392078]]]
0,[[[ 0.12609858 -3.02870728  0.32638557]]],[[[-0.42871143 -0.31787265  1.34115959]]]
0,[[[ 0.09643027 -3.05036858  0.37142559]]],[[[-0.42798447 -0.32007551  1.34119128]]]
0,[[[ 0.10524033 -2.99720156  0.35829107]]],[[[-0.42297555 -0.31962431  1.32620164]]]
0,[[[ 0.10452916 -2.99954773  0.31800202]]],[[[-0.42612334 -0.32657146  1.34293485]]]
0,[[[ 0.0773453  -3.01511203  0.40134299]]],[[[-0.41658719 -0.3243908   1.32501726]]]
0,[[[ 0.09668384 -3.05357221  0.32926008]]],[[[-0.42468864 -0.33389218  1.35785064]]]
0,[[[ 0.10608544 -2.99808669  0.31584001]]],[[[-0.42110743 -0.33229851  1.34246176]]]
0,[[[-0.11926126  3.24003656 -0.38869477]]],[[[-0.43075973 -0.34115777  1.35832945]]]
0,[[[ 0.08271503 -2.97365527  0.30929421]]],[[[-0.43050544 -0.34283029  1.34367375]]]
0,[[[ 0.09072196 -2.99699521  0.34911135]]],[[[-0.43298438 -0.34633862  1.34308026]]]
0,[[[ 0.09070033 -2.99754245  0.34810215]]],[[[-0.43493552 -0.34828987  1.34309202]]]
0,[[[ 0.06685606 -2.97235279  0.34471853]]],[[[-0.43863215 -0.34919375  1.34470161]]]
0,[[[ 0.11576573 -2.94993969  0.30796261]]],[[[-0.44755086 -0.35324748  1.35843975]]]
0,[[[ 0.10134933 -2.97770465  0.30766881]]],[[[-0.45367661 -0.35558571  1.3598459 ]]]
0,[[[ 0.11440106 -2.95384163  0.30716282]]],[[[-0.45980736 -0.35911773  1.3582827 ]]]
0,[[[ 0.1128644  -2.95522557  0.26872703]]],[[[-0.47107245 -0.36642333  1.37462907]]]
0,[[[ 0.0627715  -2.98139029  0.30165658]]],[[[-0.46974891 -0.36458197  1.36213987]]]
0,[[[ 0.0921271  -2.95783255  0.26584496]]],[[[-0.47026657 -0.36240311  1.35862189]]]
0,[[[ 0.08365467 -2.93347353  0.22975592]]],[[[-0.47113926 -0.35952388  1.35614941]]]
0,[[[ 0.09721    -2.9843749   0.26872042]]],[[[-0.48152833 -0.36399583  1.37676147]]]
0,[[[ 0.10941264 -2.95761613  0.23278499]]],[[[-0.49087549 -0.36963714  1.39049554]]]
0,[[[ 0.10944274 -2.95894864  0.23128264]]],[[[-0.49591676 -0.37367203  1.39049862]]]
0,[[[-0.1159451   3.32366494 -0.2619232 ]]],[[[-0.49134638 -0.37146183  1.3720875 ]]]
0,[[[ 0.10647074 -2.96027626  0.1873351 ]]],[[[-0.490236   -0.37093293  1.37107804]]]
0,[[[ 0.12659578 -2.95724729  0.19156485]]],[[[-0.494471   -0.37433467  1.38643881]]]
0,[[[ 0.13162993 -2.90854955  0.19993938]]],[[[-0.48697271 -0.36920622  1.36468805]]]
0,[[[ 0.12700372 -2.95783784  0.19022378]]],[[[-0.49647916 -0.37835543  1.38643313]]]
0,[[[ 0.11920402 -2.93056892  0.1546978 ]]],[[[-0.49756705 -0.38083076  1.38175553]]]
0,[[[ 0.11979519 -2.93182724  0.1528499 ]]],[[[-0.50159488 -0.38686012  1.38181359]]]
0,[[[ 0.12865408 -2.90577958  0.12215323]]],[[[-0.49459294 -0.38239148  1.35708026]]]
0,[[[ 0.12436066 -2.96113289  0.14424577]]],[[[-0.49775718 -0.38399693  1.36716042]]]
0,[[[ 0.14427649 -2.89894237  0.08875309]]],[[[-0.4901216  -0.37627798  1.35017558]]]
0,[[[ 0.15223205 -2.92153827  0.08067197]]],[[[-0.49616386 -0.37845419  1.36957374]]]
0,[[[ 0.12324553 -2.94495528  0.0693165 ]]],[[[-0.50375288 -0.38235804  1.39193184]]]
0,[[[ 0.10581738 -2.95193209  0.10812752]]],[[[-0.50719546 -0.3854783   1.39864988]]]
0,[[[ 0.16346894 -2.88882726  0.05659478]]],[[[-0.50315096 -0.3843418   1.37644643]]]
0,[[[ 0.13238426 -2.97400624  0.05660816]]],[[[-0.52162162 -0.40121687  1.41302148]]]
0,[[[ 0.14206685 -2.94284863  0.02735101]]],[[[-0.5165067  -0.3989344   1.38553532]]]
0,[[[ 0.11692346 -2.92783233  0.07382076]]],[[[-0.51578053 -0.39878894  1.37289741]]]
0,[[[ 0.12540377 -2.90019766  0.04884509]]],[[[-0.50881589 -0.39161666  1.34654092]]]
0,[[[ 0.14140292 -2.8922359   0.01657197]]],[[[-0.50763185 -0.3879904   1.33826503]]]
0,[[[ 0.12463459 -2.89104062  0.01529154]]],[[[-0.51617084 -0.39246416  1.35624331]]]
0,[[[ 1.13444341e-01 -2.91555254e+00  1.84427835e-03]]],[[[-0.51940748 -0.39460136  1.3602271 ]]]
0,[[[ 0.13944814 -2.92806659 -0.04711434]]],[[[-0.52554038 -0.39923623  1.37109138]]]
0,[[[ 0.15031476 -2.91609537  0.0039548 ]]],[[[-0.52287291 -0.39830208  1.35770354]]]
0,[[[ 0.14792763 -2.89812717 -0.06559189]]],[[[-0.51952455 -0.39728788  1.34267612]]]
0,[[[ 1.31269651e-01 -2.91987199e+00  2.00275615e-03]]],[[[-0.52167546 -0.39995311  1.34258714]]]
0,[[[ 0.13948408 -2.88152494 -0.05139338]]],[[[-0.51746137 -0.39756103  1.32491818]]]
0,[[[ 0.13816143 -2.93711644 -0.04908389]]],[[[-0.52638363 -0.40594579  1.33909728]]]
0,[[[ 0.15579101 -2.92638474 -0.08305263]]],[[[-0.52567707 -0.40774315  1.32993405]]]
0,[[[ 0.13714039 -2.9309477  -0.08591883]]],[[[-0.52247729 -0.40717487  1.31640563]]]
0,[[[ 0.1549971  -2.86679116 -0.11418903]]],[[[-0.51444777 -0.4021457   1.29259413]]]
0,[[[ 0.14593929 -2.88810904 -0.13264977]]],[[[-0.51677219 -0.40717432  1.29667581]]]
0,[[[ 0.14625342 -2.90221335 -0.10284681]]],[[[-0.51501558 -0.40805349  1.2905123 ]]]
0,[[[ 0.14619214 -2.90319952 -0.10163226]]],[[[-0.51650639 -0.41093161  1.29073127]]]
