Gyro t,Gyro X, Gyro Y, Gyro Z,Accel t, Accel X, Accel Y, Accel Z 
17918212829163,0.0275277,-0.090701,0.140996,17918212790738,0,0.687744,-2.75098
17918212912717,0.0275277,-0.090701,0.140996,17918212874292,0,0.687744,-2.75098
17918212996309,0.0275277,-0.090701,0.140996,17918212957902,0,0.687744,-2.75098
17918213079770,0.0275277,-0.090701,0.140996,17918213041345,0,0.687744,-2.75098
17918213163306,0.0275277,-0.090701,0.140996,17918213124844,0,0.687744,-2.75098
17918213246786,0.0275277,-0.090701,0.140996,17918213208416,0,0.687744,-2.75098
17918213330285,0.0275277,-0.090701,0.140996,17918213291804,0,0.687744,-2.75098
17918213413839,0.0275277,-0.090701,0.140996,17918213375395,0,0.687744,-2.75098
17918213497449,0.0275277,-0.090701,0.140996,17918213459005,0,0.687744,-2.75098
17918213581077,0.0275277,-0.090701,0.140996,17918213542670,0,0.687744,-2.75098
17918213664539,0.0275277,-0.090701,0.140996,17918213626188,0,0.687744,-2.75098
17918213748167,0.0275277,-0.090701,0.140996,17918213709760,0,0.687744,-2.75098
17918213831685,0.0275277,-0.090701,0.140996,17918213793222,0,0.687744,-2.75098
17918213915220,0.0275277,-0.090701,0.140996,17918213876795,0,0.687744,-2.75098
17918213998737,0.0275277,-0.090701,0.140996,17918213960312,0,0.687744,-2.75098
17918214082477,0.0275277,-0.090701,0.140996,17918214044052,0,0.687744,-2.75098
17918214165994,0.0275277,-0.090701,0.140996,17918214127550,0,0.687744,-2.75098
17918214249493,0.0275277,-0.090701,0.140996,17918214211067,0,0.687744,-2.75098
17918214333066,0.0275277,-0.090701,0.140996,17918214294659,0,0.687744,-2.75098
17918214416583,0.0275277,0.214484,0.140996,17918214378176,0,0.687744,-2.75098
17918214500082,0.0275277,0.214484,0.140996,17918214461675,0,0.687744,-2.75098
17918214583414,0.0275277,0.214484,0.140996,17918214545007,0,0.687744,-2.75098
17918214666857,0.0275277,0.214484,0.140996,17918214628394,0,0.687744,-2.75098
17918214750467,0.0275277,0.214484,0.140996,17918214711967,0,0.687744,-2.75098
17918214834299,0.0275277,0.214484,0.140996,17918214795929,0,0.687744,-2.75098
17918214917964,0.0275277,0.214484,0.140996,17918214879557,0,0.687744,-2.75098
17918215001296,0.0275277,0.214484,0.140996,17918214962945,0,0.687744,-2.75098
17918215084869,0.0275277,0.214484,0.140996,17918215046425,0,0.687744,-2.75098
17918215168516,0.0275277,0.214484,0.140996,17918215130053,0,0.687744,-2.75098
17918215251848,0.0275277,0.214484,0.140996,17918215213422,0,0.687744,-2.75098
17918215335272,0.0275277,0.214484,0.140996,17918215296828,0,0.687744,-2.75098
17918215418678,0.0275277,0.214484,0.140996,17918215380216,0,0.687744,-2.75098
17918215501955,0.0275277,0.214484,0.140996,17918215463511,0,0.687744,-2.75098
17918215585250,0.0275277,0.214484,0.140996,17918215546862,0,0.687744,-2.75098
17918215668619,0.0275277,0.214484,0.140996,17918215630212,0,0.687744,-2.75098
17918215752173,0.0275277,0.214484,0.140996,17918215713822,0,0.687744,-2.75098
17918215835524,0.0275277,0.214484,0.140996,17918215797098,0,0.687744,-2.75098
17918215918856,0.0275277,0.214484,0.140996,17918215880467,0,0.687744,-2.75098
17918216019947,0.0275277,0.214484,0.140996,17918215963911,0,0.687744,-2.75098
17918216119649,0.0275277,0.214484,0.140996,17918216080224,0,0.687744,-2.75098
17918216203240,0.0275277,0.214484,0.140996,17918216164815,0,0.687744,-2.75098
17918216286757,0.0275277,0.214484,0.140996,17918216248239,0,0.687744,-2.75098
