Time,xQTM,yQTM,zQTM,xCV0,yCV0,zCV0,v0R11,v0R12,v0R13,v0R21,v0R22,v0R23,v0R31,v0R32,v0R33,v1R11,v1R12,v1R13,v1R21,v1R22,v1R23,v1R31,v1R32,v1R33,qtmR11,qtmR12,qtmR13,qtmR21,qtmR22,qtmR23,qtmR31,qtmR32,qtmR33,xCV1,yCV1,zCV1
52.68060870299814,0.50802083,0.005344049999999989,1.06255247,0.49974474,0.022251915,1.0823592,0.5467301,-0.82500863,-0.142993,-0.8358864,-0.5477337,-0.035800267,-0.04878657,0.13909899,-0.989076,0.40468323,-0.6326734,-0.6602695,-0.6326734,-0.53931624,0.00064521364,-0.6602695,0.5557539,-0.7510285,0.53221,-0.83396,-0.1458,-0.81744,-0.55101,0.16786,-0.22033,0.02984,-0.97497,0.4994853,0.022270255,1.0824795
52.69737915601581,0.50789026,0.005534189999999994,1.06313371,0.49968976,0.021361282,1.0822399,0.54674786,-0.8250265,-0.14282158,-0.83587945,-0.54774547,-0.035783924,-0.048707187,0.1389464,-0.98910135,0.40436542,-0.632272,-0.6608485,-0.632272,-0.53934556,0.0007616916,-0.6608485,0.5561821,-0.7505189,0.5325,-0.83383,-0.14548,-0.81775,-0.55117,0.16585,-0.21847,0.03065,-0.97536,0.4993187,0.021374814,1.0821195
52.71417687900248,0.50760108,0.00581321999999998,1.0644965000000002,0.49843884,0.021368789,1.0804641,0.5403704,-0.83249515,-0.1222768,-0.83557546,-0.5480249,0.038501073,-0.09906269,0.08136665,-0.991749,0.43910527,-0.59400016,-0.67405516,-0.59400016,-0.537532,-0.07353686,-0.67405516,0.59851754,-0.7350115,0.53303,-0.83378,-0.14382,-0.81789,-0.55129,0.16472,-0.21663,0.02982,-0.9758,0.49815717,0.021312464,1.0805788
52.73106696800096,0.50731744,0.006024019999999991,1.06608569,0.49441355,0.020813374,1.0746063,0.5201483,-0.84569407,-0.11936238,-0.8485274,-0.5276021,0.04046413,-0.09719611,0.0802349,-0.99202585,0.4246812,-0.60339624,-0.674951,-0.60339624,-0.51741487,-0.073860206,-0.674951,0.6067906,-0.73415655,0.5329,-0.83453,-0.13993,-0.81847,-0.55033,0.16505,-0.21475,0.02657,-0.97631,0.4940751,0.02075348,1.0746063
52.74780878101592,0.50719684,0.006083969999999994,1.06692698,0.49098516,0.0206186,1.0688666,0.44956803,-0.5624136,-0.6939593,-0.84759057,-0.51379156,-0.13269691,-0.28191993,0.6478497,-0.7076807,0.519301,-0.85020375,-0.086487256,-0.85020375,-0.5260202,0.0995347,-0.086487256,0.021361044,-0.9912683,0.53285,-0.83492,-0.13778,-0.81887,-0.54981,0.16483,-0.21337,0.02499,-0.97665,0.4912074,0.020730585,1.0685526
52.764613388018915,0.5069536299999999,0.006149869999999974,1.06855945,0.4961481,0.020472998,1.082272,0.54699504,-0.824622,-0.14420469,-0.8357322,-0.5478861,-0.037048098,-0.048457064,0.14078163,-0.9888541,0.40557718,-0.63730854,-0.6552442,-0.63730854,-0.5403003,0.004672025,-0.6552442,0.54946643,-0.7554027,0.53331,-0.8353,-0.13363,-0.81913,-0.54937,0.16499,-0.21122,0.02147,-0.9772,0.49589002,0.02049399,1.0823878
52.78137571801199,0.50671669,0.006160930000000009,1.06998601,0.49464792,0.02042941,1.0806631,0.4391784,-0.59800196,-0.6704595,-0.8395692,-0.5388046,-0.069377035,-0.31975907,0.5933661,-0.7386954,0.5409382,-0.8322545,-0.12140105,-0.8322545,-0.54838413,0.03699446,-0.12140105,0.081407666,-0.9919139,0.53427,-0.83501,-0.13161,-0.81901,-0.54987,0.16394,-0.20926,0.0202,-0.97765,0.49474764,0.020475352,1.0801541
52.798180990008404,0.50661277,0.006176710000000002,1.07058026,0.49396724,0.020480666,1.0803908,0.54038197,-0.83225363,-0.123859614,-0.83546525,-0.5481942,0.038481575,-0.09992556,0.08268566,-0.9915533,0.44059315,-0.5991573,-0.668497,-0.5991573,-0.5388175,-0.070355535,-0.668497,0.5921877,-0.7403795,0.53483,-0.83462,-0.13177,-0.81885,-0.55043,0.16285,-0.20845,0.0208,-0.97781,0.49358463,0.020421633,1.0802763
52.814958411996486,0.50641947,0.0063758499999999885,1.0714684,0.4943677,0.020472769,1.0822674,0.54697657,-0.8245036,-0.14494957,-0.83573216,-0.54786944,-0.037292838,-0.048665363,0.14153734,-0.988736,0.4067329,-0.639265,-0.65261674,-0.639265,-0.5403407,0.0048768963,-0.65261674,0.5471491,-0.7576725,0.53524,-0.8343,-0.13209,-0.81888,-0.55087,0.16119,-0.20725,0.02189,-0.97804,0.4941109,0.020494012,1.082382
52.83175051101716,0.5062676399999999,0.0068405599999999955,1.07194652,0.50676584,0.020542722,1.1095406,0.5301673,-0.8109973,-0.24739848,-0.8398987,-0.542289,-0.022198454,-0.11615859,0.21955855,-0.9686595,0.4466589,-0.689317,-0.570384,-0.689317,-0.5373549,-0.010962636,-0.570384,0.48589283,-0.821305,0.53482,-0.83486,-0.1303,-0.81925,-0.55009,0.16197,-0.20689,0.02012,-0.97816,0.506569,0.02054701,1.1095406
