Time,xQTM,yQTM,zQTM,xCV,yCV,zCV,v0R11,v0R12,v0R13,v0R21,v0R22,v0R23,v0R31,v0R32,v0R33,v1R11,v1R12,v1R13,v1R21,v1R22,v1R23,v1R31,v1R32,v1R33,qtmR11,qtmR12,qtmR13,qtmR21,qtmR22,qtmR23,qtmR31,qtmR32,qtmR33
123.90767838200554,0.06986270000000001,0.09280975999999999,0.3722346299999999,0.04824916,-0.08533141,0.36924183,-0.76031417,-0.17553215,0.62538856,0.15364684,0.88687134,0.43572,-0.63112205,0.42737305,-0.6473308,-0.57415646,-0.22405303,-0.78749263,-0.22405303,0.9730508,-0.14780194,-0.78749263,0.05451974,-0.5983393,-0.75423,0.20155,-0.62491,-0.17385,0.85646,0.48606,0.63318,0.47525,-0.61092
123.92445446498459,0.06683981,0.08978790999999998,0.37267761,0.045748446,-0.082756095,0.36855555,-0.7661463,-0.1655537,0.62097645,0.16043983,0.88638484,0.43425912,-0.6223173,0.43233538,-0.6525391,-0.5905954,-0.21515045,-0.7777579,-0.21515045,0.9760272,-0.15088852,-0.7777579,0.032881282,-0.61018467,-0.75748,0.20399,-0.62017,-0.17057,0.8551,0.48959,0.63018,0.47664,-0.61293
123.94124352798099,0.06412336999999999,0.08656441999999999,0.37301271,0.043016102,-0.08045737,0.36975142,-0.76919734,-0.16284889,0.61791235,0.16066085,0.88663524,0.43366578,-0.61848485,0.4328489,-0.655834,-0.6063835,-0.21115823,-0.76662326,-0.21115823,0.97729796,-0.15457828,-0.76662326,0.017345235,-0.6232129,-0.76308,0.20553,-0.61275,-0.17178,0.84949,0.49886,0.62306,0.48592,-0.61292
123.95804471199517,0.06295161999999999,0.08504088999999998,0.3730882400000002,0.040487673,-0.07843662,0.37306204,-0.77570665,-0.16341919,0.6095681,0.1557986,0.8864079,0.43589887,-0.6115603,0.43309954,-0.662132,-0.62645495,-0.21057554,-0.75047463,-0.21057554,0.9775736,-0.16348958,-0.75047463,-0.0027976609,-0.6403585,-0.76485,0.20606,-0.61036,-0.1724,0.84742,0.50214,0.62071,0.48929,-0.61263
123.97484477498801,0.06096953999999999,0.08229941999999998,0.3729604099999999,0.038053565,-0.07617634,0.3732656,-0.7836334,-0.16461422,0.5990166,0.15589389,0.8812886,0.44612503,-0.601345,0.4429815,-0.66494477,-0.6451061,-0.21245494,-0.73396254,-0.21245494,0.9768444,-0.17658746,-0.73396254,-0.025257215,-0.6558322,-0.76444,0.20883,-0.60994,-0.16987,0.84741,0.50303,0.62192,0.48815,-0.61232
123.99164891298278,0.05942910000000001,0.07991474999999999,0.3724699,0.035519805,-0.07323401,0.37230143,-0.7892123,-0.15439728,0.594395,0.16178866,0.88141584,0.44376853,-0.5924258,0.44639397,-0.6706445,-0.6614022,-0.20154686,-0.7224444,-0.20154686,0.978383,-0.1804237,-0.7224444,-0.046319548,-0.66747385,-0.76098,0.21223,-0.61308,-0.16403,0.85134,0.4983,0.6277,0.47976,-0.61304
124.00842836400261,0.05886897999999999,0.07881717999999999,0.3721119500000001,0.033393137,-0.07136276,0.37610912,-0.80316126,-0.1449571,0.5778577,0.1720291,0.8722023,0.4578965,-0.5703841,0.46717304,-0.67558223,-0.68821573,-0.19412217,-0.6990534,-0.19412217,0.9772431,-0.19896264,-0.6990534,-0.08551306,-0.68683195,-0.7576,0.21398,-0.61664,-0.16105,0.85424,0.4943,0.63254,0.47379,-0.61272
124.02521088600042,0.05806473000000001,0.07673632999999998,0.37116689999999997,0.031247946,-0.06796385,0.3686397,-0.7983423,-0.14331815,0.5849012,0.17447808,0.87455946,0.4524413,-0.576374,0.46325547,-0.67319196,-0.68854403,-0.19033287,-0.69977176,-0.19033287,0.9773241,-0.20135751,-0.69977176,-0.092795275,-0.6854011,-0.75107,0.21738,-0.62341,-0.15477,0.85996,0.48633,0.64182,0.46175,-0.61225
124.04204631398898,0.05761722,0.07478262999999999,0.3699557400000002,0.029964156,-0.06601717,0.36947387,-0.7928747,-0.14012119,0.5930563,0.17307556,0.88134795,0.4396256,-0.58428985,0.45121157,-0.6745469,-0.68613976,-0.18432422,-0.70373064,-0.18432422,0.9786487,-0.19600663,-0.70373064,-0.09094678,-0.6828943,-0.74541,0.2203,-0.62915,-0.15024,0.86401,0.48053,0.64945,0.45272,-0.61094
124.05900720198406,0.05749988,0.07383587999999999,0.36927442999999993,0.028972592,-0.06435131,0.37023982,-0.78709334,-0.13711536,0.6014012,0.17214477,0.88741523,0.4276218,-0.5923261,0.44010636,-0.67487496,-0.6833559,-0.17880018,-0.70785254,-0.17880018,0.9797269,-0.19188347,-0.70785254,-0.09036395,-0.6797981,-0.74321,0.22165,-0.63127,-0.14905,0.86496,0.47919,0.65224,0.45023,-0.60982
124.07566642700112,0.05726681,0.07202524999999999,0.3677477600000001,0.02839996,-0.06239919,0.36849737,-0.77739877,-0.13176894,0.61505127,0.1770303,0.8924517,0.41495815,-0.60358214,0.43147066,-0.67046374,-0.67421824,-0.17201905,-0.71821946,-0.17201905,0.98084146,-0.18839934,-0.71821946,-0.09143043,-0.6698257,-0.74236,0.22401,-0.63145,-0.14811,0.86427,0.48073,0.65343,0.4504,-0.60842
124.09242446298595,0.05712597999999999,0.07037645,0.3660319300000001,0.028334018,-0.061382584,0.36953676,-0.7736765,-0.1266868,0.62078583,0.17577697,0.89842385,0.40241405,-0.60870934,0.42045817,-0.6728208,-0.6702991,-0.16543478,-0.7234158,-0.16543478,0.98252904,-0.17964861,-0.7234158,-0.08525242,-0.66663027,-0.74368,0.22559,-0.62932,-0.14954,0.86136,0.48548,0.65159,0.45516,-0.60684
124.10921737999888,0.05710635,0.06968767999999999,0.36509305999999997,0.028086377,-0.05965146,0.3682367,-0.776326,-0.12011225,0.61878186,0.1844625,0.8954091,0.40523592,-0.6027367,0.42873722,-0.67297316,-0.6741645,-0.16069373,-0.7208882,-0.16069373,0.9815319,-0.18854383,-0.7208882,-0.103791185,-0.6669119,-0.74399,0.22636,-0.62868,-0.14977,0.86044,0.48705,0.65119,0.45652,-0.60625
124.12602511199657,0.05723521000000001,0.06856086999999998,0.3630703100000001,0.027750274,-0.05806834,0.3677816,-0.7753248,-0.1329253,0.61741585,0.1706565,0.89713985,0.40745115,-0.60806894,0.42127302,-0.6728902,-0.67395175,-0.17238858,-0.7183809,-0.17238858,0.97967255,-0.19629478,-0.7183809,-0.102586016,-0.6673808,-0.74356,0.22742,-0.6288,-0.15073,0.85918,0.48897,0.65146,0.45836,-0.60458
124.142816165986,0.05737252000000001,0.06764967999999999,0.3608180999999999,0.027809132,-0.057147387,0.36866772,-0.77695096,-0.13296793,0.615359,0.1751372,0.8932078,0.41413388,-0.60471,0.42953396,-0.670691,-0.6754655,-0.17431404,-0.7164921,-0.17431404,0.977719,-0.20741838,-0.7164921,-0.116962366,-0.66604555,-0.74444,0.22904,-0.62718,-0.15034,0.85771,0.49166,0.65054,0.4603,-0.60408
124.1596255049808,0.05748064,0.06716227999999999,0.35965250999999987,0.02761938,-0.055682037,0.3660028,-0.77191615,-0.13156061,0.6219624,0.17912082,0.8937052,0.41134745,-0.6099682,0.42893216,-0.66630024,-0.67005354,-0.1730666,-0.7218561,-0.1730666,0.9773381,-0.2100656,-0.7218561,-0.12189423,-0.6593908,-0.74561,0.22912,-0.62576,-0.15222,0.85565,0.49466,0.64877,0.46407,-0.6031
124.17643759999191,0.057698849999999996,0.06615642999999999,0.35715286999999996,0.027858023,-0.0549538,0.36522382,-0.7819709,-0.1305134,0.6094979,0.17610535,0.89173484,0.4168884,-0.59792006,0.43333045,-0.6743266,-0.68059623,-0.17341006,-0.7118411,-0.17341006,0.9762931,-0.21514848,-0.7118411,-0.12954041,-0.66857564,-0.75017,0.23,-0.61996,-0.15595,0.84957,0.5039,0.6426,0.47469,-0.60145
124.1932115870004,0.05811426,0.06529247999999999,0.35437355000000004,0.027931781,-0.054499425,0.36423528,-0.78575814,-0.122661464,0.6062494,0.18580787,0.8880603,0.42050487,-0.58996576,0.44306102,-0.67500913,-0.6845774,-0.16748793,-0.70943755,-0.16748793,0.97570807,-0.21874426,-0.70943755,-0.14121442,-0.6699622,-0.75313,0.23099,-0.61599,-0.15883,0.8448,0.51097,0.63842,0.48266,-0.59955
124.21000598900719,0.058864,0.06476799999999999,0.35131697000000006,0.028029166,-0.053189605,0.36141485,-0.7919646,-0.12217461,0.59821856,0.17053947,0.896517,0.40886867,-0.5862665,0.42582938,-0.6891741,-0.6913244,-0.16469654,-0.7035237,-0.16469654,0.97813237,-0.20674886,-0.7035237,-0.12701221,-0.6799333,-0.75177,0.23248,-0.61708,-0.15856,0.84461,0.51137,0.64007,0.48228,-0.59809
124.22679788200185,0.05934413000000002,0.06451607999999999,0.34973900999999996,0.028072795,-0.052692607,0.35823956,-0.78628045,-0.13072036,0.60388345,0.18277816,0.8844108,0.42942953,-0.5902162,0.44802874,-0.67150205,-0.6828014,-0.1775708,-0.7086966,-0.1775708,0.9726198,-0.23208962,-0.7086966,-0.14993133,-0.6662459,-0.75031,0.23287,-0.61871,-0.15894,0.84491,0.51076,0.6417,0.48157,-0.59693
124.2436122839863,0.06037507,0.06395557999999998,0.34652725000000006,0.028596107,-0.052415777,0.35939264,-0.79429483,-0.124807216,0.5945746,0.18724966,0.88073426,0.4350227,-0.57795614,0.45687017,-0.6761925,-0.6903028,-0.1743388,-0.7022023,-0.1743388,0.97109705,-0.2386723,-0.7022023,-0.16302313,-0.67078125,-0.74998,0.23344,-0.6189,-0.15994,0.84389,0.51212,0.64183,0.48307,-0.59556
124.2604076800053,0.06145765,0.06312005999999998,0.34323649,0.029098684,-0.051695693,0.35455763,-0.7863186,-0.13280596,0.60337853,0.18658388,0.8799753,0.43684077,-0.5889733,0.45607674,-0.6671615,-0.6781817,-0.18317482,-0.7116997,-0.18317482,0.96988153,-0.24349205,-0.7116997,-0.16055152,-0.65893483,-0.7532,0.23343,-0.61498,-0.16371,0.83898,0.51895,0.6371,0.49155,-0.59371
124.27720603498165,0.06200222999999999,0.06263196,0.3415705900000001,0.029460154,-0.05073252,0.35003173,-0.78397685,-0.13590758,0.6057305,0.18551974,0.8798599,0.43752596,-0.59242105,0.4553852,-0.6645763,-0.6724978,-0.18750271,-0.7159535,-0.18750271,0.96892625,-0.24725287,-0.7159535,-0.16132149,-0.6528986,-0.75525,0.23345,-0.61246,-0.16585,0.83594,0.52316,0.63411,0.49669,-0.59262
